"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","48.510.500","2,20","-2,65%"
"BBDC4","Banco Bradesco","46.311.500","11,18","-1,24%"
"PETR4","Petrobras","40.328.800","36,94","+0,27%"
"B3SA3","B3","36.793.100","9,80","-3,92%"
"ABEV3","Ambev","31.277.300","11,16","-2,11%"
"VALE3","Vale","25.833.900","51,52","+0,57%"
"ITSA4","Itaúsa","22.893.500","8,66","-1,37%"
"COGN3","Cogna","21.397.000","1,18","+1,72%"
"CRFB3","Carrefour Brasil","19.728.400","5,49","-0,72%"
"ITUB4","Itaú Unibanco","19.288.300","30,64","-1,38%"
"CVCB3","CVC","18.482.200","1,66","+2,47%"
"MGLU3","Magazine Luiza","18.164.800","6,03","+0,33%"
"AZUL4","Azul","17.708.800","4,14","-2,59%"
"GGBR4","Gerdau","17.317.900","16,80","-1,75%"
"CSNA3","Siderúrgica Nacional","17.203.200","7,73","+3,76%"
"BBAS3","Banco do Brasil","17.167.200","24,21","-0,25%"
"PRIO3","PetroRio","16.998.700","42,63","+1,60%"
"TIMS3","TIM","16.631.000","13,82","-5,02%"
"RAIL3","Rumo","15.867.400","17,21","-3,59%"
"CPLE6","Copel","15.778.600","8,76","-2,12%"
"CMIG4","Cemig","15.657.100","10,47","-2,70%"
"CSAN3","Cosan","15.466.800","8,11","-1,22%"
"ASAI3","Assaí","14.811.000","5,62","-0,71%"
"LREN3","Lojas Renner","14.184.800","12,84","-1,23%"
"EQTL3","Equatorial Energia","13.372.300","27,16","-0,26%"
"BRFS3","BRF","13.228.200","23,52","+0,17%"
"USIM5","Usiminas","12.552.300","4,76","-0,63%"
"RENT3","Localiza","12.381.700","28,87","-4,66%"
"ENEV3","Eneva","12.174.600","10,69","+1,62%"
"PCAR3","Grupo Pão de Açúcar","11.970.000","2,76","-3,16%"
"BRAV3","3R Petroleum","11.706.500","24,92","+1,76%"
"BBDC3","Banco Bradesco","11.490.400","10,31","-1,06%"
"GOAU4","Metalúrgica Gerdau","11.441.900","9,41","-1,77%"
"GOLL4","GOL","11.405.300","1,59","-5,92%"
"RADL3","RaiaDrogasil","10.619.100","20,97","-0,62%"
"PETR3","Petrobras","10.357.700","40,92","+0,49%"
"POMO4","Marcopolo","10.015.600","7,31","-2,40%"
"MRFG3","Marfrig","9.910.200","16,86","-0,77%"
"RAIZ4","Raízen","9.779.600","2,02","-0,98%"
"ELET3","Eletrobras","9.776.100","34,15","-1,01%"
"CMIN3","CSN Mineração","9.590.100","4,85","+2,97%"
"BEEF3","Minerva","9.294.800","5,08","-0,78%"
"MRVE3","MRV","9.194.600","5,09","-2,12%"
"ANIM3","Ânima Educação","8.900.500","1,55","+1,97%"
"OIBR3","Oi","8.742.800","1,47","+6,52%"
"ECOR3","EcoRodovias","8.043.100","4,55","+2,94%"
"VBBR3","Vibra Energia","8.000.100","17,40","-1,19%"
"BPAC11","Banco BTG Pactual","7.472.100","27,73","-3,04%"
"CCRO3","Grupo CCR","7.306.800","10,30","-0,87%"
"ONCO3","Oncoclínicas","7.104.300","2,08","-0,95%"
"CAML3","Camil Alimentos","6.507.400","4,91","-14,46%"
"UGPA3","Ultrapar","6.338.000","15,57","-1,58%"
"JBSS3","JBS","6.306.500","35,35","-1,34%"
"AURE3","Auren Energia","6.277.600","7,88","-1,50%"
"CPLE3","Copel","5.783.800","7,93","-1,73%"
"WEGE3","WEG","5.768.000","53,35","-1,73%"
"ENGI11","Energisa","5.706.000","36,54","-0,98%"
"SIMH3","Simpar","5.629.700","3,36","-2,33%"
"CEAB3","C&A","5.252.400","7,72","+0,26%"
"NTCO3","Natura","5.205.200","12,60","-0,94%"
"ALOS3","Allos","5.176.900","17,43","-1,80%"
"PETZ3","Petz","5.176.100","4,06","+1,50%"
"SUZB3","Suzano","5.157.300","61,44","-0,05%"
"EMBR3","Embraer","5.152.800","57,30","-0,09%"
"MOVI3","Movida","4.921.300","3,40","-3,13%"
"IFCM3","Infracommerce","4.883.600","0,09","+12,50%"
"HYPE3","Hypera","4.876.500","17,82","-0,61%"
"STBP3","Santos Brasil","4.838.300","13,14","+0,08%"
"CYRE3","Cyrela","4.783.900","16,51","-0,24%"
"LWSA3","Locaweb","4.750.500","3,36","-1,47%"
"BBSE3","BB Seguridade","4.641.300","36,14","-0,39%"
"VIVA3","Vivara","4.532.600","18,50","-2,48%"
"YDUQ3","YDUQS","3.988.600","8,97","-1,54%"
"RDOR3","Rede D'Or","3.971.100","26,27","-0,79%"
"KLBN11","Klabin","3.960.400","22,10","+0,14%"
"MULT3","Multiplan","3.862.900","20,24","-1,27%"
"GGPS3","GPS","3.826.800","14,17","-2,28%"
"VAMO3","Grupo Vamos","3.718.400","4,44","-3,06%"
"ISAE4","ISA Energia","3.676.000","22,61","-0,79%"
"GMAT3","Grupo Mateus","3.535.200","5,97","-1,00%"
"TOTS3","Totvs","3.484.900","26,71","+0,23%"
"RAPT4","Randon","3.299.300","8,90","-4,40%"
"IRBR3","IRB Brasil RE","3.269.200","46,08","+3,67%"
"SBSP3","Sabesp","3.113.000","87,59","-0,39%"
"BRAP4","Bradespar","2.935.000","15,73","+0,83%"
"HBSA3","Hidrovias do Brasil","2.848.100","2,71","-3,56%"
"CXSE3","Caixa Seguridade","2.737.700","14,16","-0,63%"
"FLRY3","Fleury","2.731.000","11,84","-1,91%"
"LJQQ3","Lojas Quero-Quero","2.682.200","2,06","-0,96%"
"SLCE3","SLC Agrícola","2.676.400","17,19","-1,15%"
"QUAL3","Qualicorp","2.510.600","1,50","+0,00%"
"TEND3","Construtora Tenda","2.489.500","12,06","-0,08%"
"SBFG3","Grupo SBF","2.441.700","10,90","-2,42%"
"RCSL3","Recrusul","2.377.300","4,82","+4,33%"
"DIRR3","Direcional","2.371.900","24,15","-0,70%"
"GFSA3","Gafisa","2.354.600","1,16","+0,00%"
"EVEN3","Even","2.321.900","5,57","-0,54%"
"CBAV3","CBA","2.277.800","4,64","-0,43%"
"BRKM5","Braskem","2.198.900","11,14","+1,00%"
"CURY3","Cury","2.196.000","18,10","-0,55%"
"DXCO3","Dexco","2.125.200","5,91","+0,17%"
"RECV3","PetroRecôncavo","2.108.600","16,36","-0,24%"
"SANB11","Banco Santander","2.085.000","23,81","-1,00%"
"AMER3","Americanas","2.047.800","5,52","-1,60%"
"IGTI11","Iguatemi","2.029.100","16,80","-1,41%"
"IGTI11","Jereissati Participações","2.029.100","16,80","-1,41%"
"SRNA3","Serena Energia","2.021.200","5,87","-2,98%"
"BHIA3","Casas Bahia","2.020.600","2,73","-2,15%"
"SMFT3","Smart Fit","1.884.900","17,50","+0,06%"
"VVEO3","Viveo","1.870.300","1,93","+1,05%"
"ALPA4","Alpargatas","1.853.800","6,24","+0,48%"
"AZEV4","Azevedo & Travassos","1.846.500","0,96","-2,04%"
"RCSL4","Recrusul","1.705.900","0,74","+4,23%"
"JHSF3","JHSF","1.640.200","3,65","-1,35%"
"ODPV3","Odontoprev","1.540.700","10,35","-1,90%"
"PSSA3","Porto Seguro","1.501.700","36,42","-0,44%"
"SAPR4","Sanepar","1.446.900","5,12","-1,73%"
"ARML3","Armac","1.412.400","4,99","-6,20%"
"TAEE11","Taesa","1.376.300","32,74","-0,70%"
"TTEN3","3tentos","1.322.000","13,67","-1,65%"
"EZTC3","EZTEC","1.270.400","10,69","-1,47%"
"CPFE3","CPFL Energia","1.235.800","31,64","-0,97%"
"CSMG3","COPASA","1.224.300","21,51","-1,10%"
"VIVT3","Vivo","1.198.300","46,87","-2,21%"
"AERI3","Aeris Energy","1.152.300","7,43","-8,16%"
"ELET6","Eletrobras","1.135.400","37,65","-0,89%"
"SMTO3","São Martinho","1.120.500","24,27","-1,50%"
"EGIE3","Engie","1.029.500","34,96","-0,96%"
"BRSR6","Banrisul","1.025.200","9,65","+0,10%"
"MYPK3","Iochpe-Maxion","950.000","12,45","-0,64%"
"BPAN4","Banco Pan","930.900","6,34","+0,00%"
"ALUP11","Alupar","853.000","27,03","+0,67%"
"DASA3","Dasa","842.900","1,87","-1,06%"
"HBOR3","Helbor","819.700","1,35","-1,46%"
"AZZA3","Arezzo","785.700","30,11","-1,92%"
"KEPL3","Kepler Weber","775.700","9,42","+0,11%"
"PLPL3","Plano&Plano","769.900","8,80","-1,35%"
"POSI3","Positivo","747.900","5,02","+0,00%"
"NEOE3","Neoenergia","740.800","18,23","-0,76%"
"MTRE3","Mitre Realty","715.900","2,87","-4,65%"
"MLAS3","Multilaser","704.800","1,15","+0,00%"
"MDNE3","Moura Dubeux","703.500","10,22","-2,11%"
"INTB3","Intelbras","672.800","12,05","-2,43%"
"PGMN3","Pague Menos","663.800","3,26","-1,51%"
"GUAR3","Guararapes","644.500","5,71","+0,71%"
"MILS3","Mills","636.800","8,17","-4,44%"
"PDGR3","PDG Realty","635.100","0,01","+0,00%"
"SAPR11","Sanepar","625.800","25,65","-2,29%"
"CMIG3","Cemig","616.700","14,20","-1,39%"
"MDIA3","M. Dias Branco","598.700","19,28","-5,49%"
"PMAM3","Paranapanema","593.100","1,28","-6,57%"
"VULC3","Vulcabras","590.000","15,79","+0,25%"
"PORT3","Wilson Sons","586.200","16,32","-1,09%"
"KLBN4","Klabin","547.600","4,34","-0,23%"
"GRND3","Grendene","538.400","5,15","-1,34%"
"RANI3","Irani","536.200","6,93","-0,43%"
"MEAL3","IMC Alimentação","514.700","0,94","+0,00%"
"JALL3","Jalles Machado","503.400","4,46","-3,04%"
"ZAMP3","Zamp","501.900","2,61","+3,16%"
"ABCB4","Banco ABC Brasil","501.800","19,04","-0,05%"
"LIGT3","Light","466.700","4,05","+4,92%"
"SEER3","Ser Educacional","436.600","4,24","-3,85%"
"BRBI11","BR Partners","415.100","12,25","-0,41%"
"SOJA3","Boa Safra Sementes","413.200","10,35","-0,58%"
"BRST3","Brisanet","398.400","2,47","+2,07%"
"CASH3","Méliuz","387.700","2,74","-0,36%"
"ORVR3","Orizon","361.200","36,85","-2,25%"
"MATD3","Mater Dei","356.900","3,65","-1,35%"
"FESA4","Ferbasa","356.300","7,53","-0,79%"
"LEVE3","Mahle Metal Leve","332.100","26,56","-1,67%"
"WIZC3","Wiz Soluções","325.600","5,26","-0,75%"
"TRIS3","Trisul","314.700","4,32","-2,26%"
"USIM3","Usiminas","307.800","4,81","-1,03%"
"POMO3","Marcopolo","301.300","5,55","-2,63%"
"SYNE3","SYN","293.900","5,04","-0,98%"
"ITUB3","Itaú Unibanco","291.800","27,12","-0,91%"
"JSLG3","JSL","280.800","5,40","-3,57%"
"TUPY3","Tupy","268.300","21,28","-1,85%"
"ENJU3","Enjoei","258.200","1,02","+0,99%"
"OPCT3","OceanPact","249.000","5,26","-1,87%"
"LAVV3","Lavvi Incorporadora","248.700","7,06","-0,56%"
"PTBL3","Portobello","237.000","3,40","-1,45%"
"CLSA3","ClearSale","236.900","9,91","+0,10%"
"VLID3","Valid","234.700","22,83","-1,72%"
"MELK3","Melnick","229.200","3,53","-0,28%"
"AZEV3","Azevedo & Travassos","219.600","0,98","-1,01%"
"FIQE3","Unifique","204.500","3,38","-2,59%"
"LPSB3","Lopes","200.600","1,41","-5,37%"
"SHUL4","Schulz","199.000","5,60","-0,53%"
"HBRE3","HBR Realty","196.600","2,88","-1,71%"
"CSED3","Cruzeiro do Sul Educacional","196.400","3,08","-1,28%"
"BMGB4","Banco BMG","194.500","3,73","+0,00%"
"PRNR3","Priner","184.600","12,99","-2,70%"
"TFCO4","Track & Field","181.500","8,59","-1,38%"
"PFRM3","Profarma","178.700","6,09","-0,49%"
"FRAS3","Fras-le","169.200","20,34","-2,21%"
"MBLY3","Mobly","168.400","1,43","-1,38%"
"KLBN3","Klabin","161.700","4,70","+0,43%"
"AMBP3","Ambipar","157.800","120,25","+2,82%"
"AMAR3","Lojas Marisa","152.100","1,08","+0,93%"
"TAEE4","Taesa","149.800","10,97","-0,99%"
"UNIP6","Unipar","149.200","44,80","-1,99%"
"ROMI3","Indústrias ROMI","147.100","8,72","+1,04%"
"SAPR3","Sanepar","146.500","5,16","-2,82%"
"ETER3","Eternit","144.500","4,98","+1,22%"
"RSID3","Rossi Residencial","144.300","2,84","+5,97%"
"AGRO3","BrasilAgro","140.300","22,18","-0,54%"
"RNEW4","Renova Energia","139.600","0,94","+1,08%"
"SEQL3","Sequoia Logística","133.800","2,65","-5,02%"
"ESPA3","Espaçolaser","132.800","0,71","-1,39%"
"LOGG3","LOG CP","131.500","18,02","-2,07%"
"TASA4","Taurus","130.500","8,30","+1,22%"
"TCSA3","Tecnisa","126.500","1,43","+2,14%"
"PNVL3","Dimed","116.500","8,64","-1,26%"
"BLAU3","Blau Farmacêutica","110.000","12,66","-2,91%"
"VITT3","Vittia","107.200","5,18","-0,96%"
"INEP4","Inepar","97.200","1,33","-5,00%"
"ITSA3","Itaúsa","97.100","8,84","-1,34%"
"TAEE3","Taesa","91.400","10,83","-1,19%"
"TGMA3","Tegma","89.600","28,04","-2,27%"
"WEST3","Westwing","86.400","5,20","+1,96%"
"LUPA3","Lupatech","82.200","1,26","+1,61%"
"DESK3","Desktop","78.700","10,10","-2,04%"
"AGXY3","AgroGalaxy","78.500","0,45","-2,17%"
"BMOB3","Bemobi","72.900","13,30","-0,52%"
"ALPK3","Estapar","68.300","2,40","-1,64%"
"GOAU3","Metalúrgica Gerdau","66.700","9,60","-1,34%"
"SANB3","Banco Santander","63.700","11,32","-0,88%"
"DEXP3","Dexxos","63.000","8,38","-0,95%"
"CGRA4","Grazziotin","62.300","27,97","+1,86%"
"BRAP3","Bradespar","60.100","14,95","+0,00%"
"AALR3","Alliança","59.000","9,22","+2,90%"
"PINE4","Banco Pine","57.400","4,25","-0,23%"
"VTRU3","VITRUBREPCOM","54.300","5,89","-4,07%"
"CAMB3","Cambuci","54.200","10,74","-0,09%"
"TECN3","Technos","53.600","5,67","-3,41%"
"VIVR3","Viver","51.400","1,07","-2,73%"
"LOGN3","Log-In","49.700","20,04","-4,11%"
"NGRD3","Neogrid","49.600","19,30","-1,98%"
"DMVF3","D1000 Varejo Farma","48.300","5,52","-2,13%"
"ELMD3","Eletromidia","44.700","28,70","+0,00%"
"GGBR3","Gerdau","43.800","15,47","-1,21%"
"SHOW3","Time For Fun","42.000","0,76","+0,00%"
"SANB4","Banco Santander","39.700","12,55","-1,18%"
"TRAD3","Traders Club","39.300","6,58","+1,54%"
"TPIS3","Triunfo","38.400","5,32","-6,67%"
"PDTC3","Padtec","34.400","1,17","+0,00%"
"BIOM3","Biomm","33.000","9,40","+0,53%"
"RNEW3","Renova Energia","32.100","0,97","+0,00%"
"RAPT3","Randon","30.100","7,97","-2,92%"
"LAND3","Terra Santa","29.600","12,77","-3,62%"
"DOTZ3","Dotz","24.100","3,15","+0,32%"
"ALLD3","Allied","23.500","6,92","-1,14%"
"SCAR3","São Carlos","22.600","16,17","+0,12%"
"EUCA4","Eucatex","20.600","13,33","-1,62%"
"KRSA3","Kora Saúde","19.700","8,28","+0,00%"
"FHER3","Fertilizantes Heringer","19.500","5,61","+0,00%"
"BOBR4","Bombril","18.400","1,87","-1,06%"
"CSUD3","CSU Cardsystem","17.100","15,60","+0,65%"
"JFEN3","João Fortes","16.000","2,59","-1,15%"
"MNPR3","Minupar","15.700","25,48","+6,43%"
"IGTI3","Iguatemi","14.200","2,06","+0,00%"
"IGTI3","Jereissati Participações","14.200","2,06","+0,00%"
"BRKM3","Braskem","13.300","11,50","+1,41%"
"OFSA3","Ourofino Saúde Animal","12.500","16,40","-2,67%"
"UCAS3","Unicasa","11.100","1,79","-0,56%"
"WHRL4","Whirlpool","10.100","4,23","+0,71%"
"PINE3","Banco Pine","9.500","4,13","-4,62%"
"COCE5","Coelce","9.100","24,60","+0,00%"
"BMEB4","Banco Mercantil do Brasil","9.000","37,21","-1,17%"
"OIBR4","Oi","8.600","8,61","+0,12%"
"VSTE3","LE LIS BLANC","7.700","6,86","-2,83%"
"TASA3","Taurus","6.700","8,33","-0,60%"
"LVTC3","WDC Networks","6.700","2,33","+0,87%"
"INEP3","Inepar","6.400","1,36","-2,16%"
"CEBR6","CEB","5.800","17,08","-1,10%"
"DEXP4","Dexxos","5.600","8,24","+0,00%"
"ALUP4","Alupar","5.500","8,96","+1,36%"
"EPAR3","Embpar Participações","5.200","5,46","+0,00%"
"ENGI3","Energisa","4.800","9,97","-0,80%"
"CLSC4","Celesc","4.500","80,25","+2,09%"
"NUTR3","Nutriplant","4.400","4,25","+4,68%"
"ENGI4","Energisa","4.300","6,62","-1,05%"
"AMAR11","Lojas Marisa","4.100","0,69","+13,11%"
"BEES3","Banestes","4.000","8,30","-0,95%"
"GSHP3","General Shopping & Outlets","4.000","6,00","-7,83%"
"TELB3","Telebras","3.600","12,88","+3,45%"
"MWET4","Wetzel","3.000","10,80","+8,65%"
"BRSR3","Banrisul","2.900","11,11","-0,45%"
"ALUP3","Alupar","2.900","9,10","-0,22%"
"BEES4","Banestes","2.900","8,43","-0,12%"
"EQPA3","Equatorial Energia Pará","2.900","5,45","+0,74%"
"BPAC3","Banco BTG Pactual","2.800","14,03","-2,84%"
"BIOM11","Biomm","2.800","0,78","+4,00%"
"PTNT3","Pettenati","2.400","7,44","+0,27%"
"WHRL3","Whirlpool","2.300","3,88","-0,51%"
"TKNO4","Tekno","2.200","62,50","+2,02%"
"EALT4","Electro Aço Altona","2.200","13,16","+0,08%"
"UNIP3","Unipar","1.900","44,68","-0,93%"
"ISAE3","ISA Energia","1.700","31,95","+2,63%"
"ALPA3","Alpargatas","1.500","5,94","+0,17%"
"RNEW11","Renova Energia","1.500","2,91","+0,34%"
"RPAD3","Alfa Holdings","1.400","5,35","-6,96%"
"NEXP3","Brasil Brokers","1.300","3,74","-2,86%"
"WLMM4","WLM","1.200","29,60","-3,86%"
"TELB4","Telebras","1.200","7,07","+1,00%"
"REDE3","Rede Energia","1.200","6,27","+1,95%"
"GEPA4","Rio Paranapanema Energia","1.100","29,00","-3,65%"
"MGEL4","Mangels","1.100","6,90","-1,29%"
"CGRA3","Grazziotin","1.000","28,00","+3,55%"
"AFLT3","Afluente T","1.000","7,06","+0,00%"
"HOOT4","Hotéis Othon","1.000","2,28","+0,00%"
"HAGA4","Haga","1.000","1,14","-0,87%"
"RDNI3","RNI","900","2,27","+2,25%"
"CTSA4","Santanense","900","0,79","-4,82%"
"CEBR5","CEB","800","15,57","-0,13%"
"BRKM6","Braskem","800","7,40","+0,00%"
"BPAC5","Banco BTG Pactual","800","6,95","-1,42%"
"AZEV11","Azevedo & Travassos","800","0,25","-3,85%"
"CEBR3","CEB","700","15,89","-0,06%"
"EUCA3","Eucatex","700","15,20","-4,58%"
"IGTI4","Iguatemi","700","7,50","-8,54%"
"IGTI4","Jereissati Participações","700","7,50","-8,54%"
"MTSA4","Metisa","600","38,19","-0,16%"
"FRIO3","Metalfrio","500","299,90","-0,13%"
"MNDL3","Mundial","500","16,40","+3,14%"
"BSLI3","Banco de Brasília","400","7,68","-1,66%"
"CTKA4","Karsten","300","21,11","-4,05%"
"MMAQ4","Minasmáquinas","200","2.550,01","+0,00%"
"UNIP5","Unipar","200","49,98","-0,04%"
"EMAE4","EMAE","200","39,98","-0,42%"
"CRPG6","Tronox Pigmentos","200","20,98","-0,05%"
"CPLE5","Copel","200","9,75","+0,00%"
"PTNT4","Pettenati","200","5,76","+0,17%"
"RPMG3","Refinaria de Manguinhos","200","2,72","-1,09%"
"ATMP3","Atma","200","1,30","+0,78%"
"CGAS5","Comgás","100","124,00","+0,00%"
"BAZA3","Banco da Amazônia","100","85,79","+0,94%"
"RSUL4","Metalúrgica Riosulense","100","54,80","-0,27%"
"EKTR4","Elektro","100","49,97","-0,06%"
"GPAR3","CELGPAR","100","31,40","-33,19%"
"BGIP3","Banese","100","24,44","-1,73%"
"JOPA4","Josapar","100","24,00","+3,90%"
"BGIP4","Banese","100","23,41","+0,43%"
"CRPG5","Tronox Pigmentos","100","19,90","+0,00%"
"FESA3","Ferbasa","100","13,00","+0,00%"
"PSVM11","PORTO VM","100","4,46","-10,44%"
"PPLA11","PPLA","67","1,19","-0,83%"
"AVLL3","Alphaville","8.500","2,78","+0,00%"
"NINJ3","GetNinjas","5.000","5,00","+0,00%"
"EALT3","Electro Aço Altona","2.600","13,10","+0,61%"
"EQMA3B","Equatorial Maranhão","1.400","24,00","+1,65%"
"GEPA3","Rio Paranapanema Energia","1.000","29,00","+0,00%"
"BALM4","Baumer","800","11,30","+7,52%"
"ESTR4","Estrela","800","4,00","+0,00%"
"HAGA3","Haga","700","1,89","+5,59%"
"CEEB3","COELBA","600","38,00","-1,94%"
"OSXB3","OSX Brasil","600","3,74","+1,08%"
"PEAB4","Participações Aliança da Bahia","500","47,50","-8,65%"
"BSLI4","Banco de Brasília","400","7,90","-6,62%"
"PLAS3","Plascar","400","5,99","+0,00%"
"SNSY5","Sansuy","400","3,86","+6,04%"
"CTSA3","Santanense","400","1,57","-0,63%"
"BMIN3","Banco Mercantil de Investimentos","300","19,80","+1,54%"
"PATI4","Panatlântica","200","32,00","-8,57%"
"TEKA4","Teka","200","31,65","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","200","17,89","+5,86%"
"SNSY3","Sansuy","200","11,10","+1,37%"
"CBEE3","Ampla Energia","200","10,49","+4,80%"
"MERC4","Mercantil do Brasil Financeira","200","9,20","-4,17%"
"CTKA3","Karsten","100","21,50","+19,25%"
"PINE11","Banco Pine","100","5,80","-1,69%"
"BMKS3","Monark","37","334,00","+5,36%"
"CLSC3","Celesc","2.300","77,50","-2,20%"
"CEDO4","Cedro Têxtil","1.200","22,60","+2,73%"
"BNBR3","Banco do Nordeste","700","95,91","-5,35%"
"AHEB3","São Paulo Turismo","200","37,00","-3,27%"
"CGAS3","Comgás","100","122,20","+0,16%"
"PEAB3","Participações Aliança da Bahia","100","42,50","+0,00%"
"BRSR5","Banrisul","100","14,71","-0,61%"
"DOHL4","Döhler","100","3,95","+1,54%"
"HBTS5","Habitasul","100","28,00","+0,00%"
"PATI3","Panatlântica","100","25,01","+0,04%"
"BAUH4","Excelsior","4.000","78,19","-0,36%"
"BMEB3","Banco Mercantil do Brasil","1.000","32,00","+3,03%"
"AHEB6","São Paulo Turismo","100","41,00","+15,49%"
"LUXM4","Trevisa","100","12,00","-4,00%"
"NORD3","Nordon","400","6,60","-2,22%"
"ENMT3","Energisa MT","300","77,26","-8,02%"
"SOND6","Sondotécnica","300","46,00","+0,00%"
"TKNO3","Tekno","100","50,09","+0,14%"
"DASA11","DASA11","100","0,90","+0,00%"
"JOPA3","Josapar","300","21,00","+0,00%"
"MWET3","Wetzel","200","12,50","+0,00%"
"DTCY3","Dtcom","200","4,43","-0,45%"
